date_time,heart_zone_id,total_minutes
2023-09-20T15:40,FAT_BURN,1
2023-09-20T15:44,FAT_BURN,1
2023-09-20T16:38,FAT_BURN,1
2023-09-20T16:39,FAT_BURN,1
2023-09-20T17:58,FAT_BURN,1
2023-09-20T17:59,FAT_BURN,1
2023-09-20T19:01,FAT_BURN,1
2023-09-20T19:02,FAT_BURN,1
2023-09-20T19:26,FAT_BURN,1
2023-09-20T19:27,FAT_BURN,1
2023-09-20T19:28,FAT_BURN,1
2023-09-20T19:31,FAT_BURN,1
2023-09-20T21:59,FAT_BURN,1
2023-09-20T22:01,FAT_BURN,1
2023-09-21T03:41,FAT_BURN,1
2023-09-21T03:42,FAT_BURN,1
2023-09-21T11:40,FAT_BURN,1
2023-09-21T11:41,FAT_BURN,1
2023-09-21T11:43,FAT_BURN,1
2023-09-21T11:44,FAT_BURN,1
2023-09-21T11:45,CARDIO,2
2023-09-21T11:46,CARDIO,2
2023-09-21T11:47,CARDIO,2
2023-09-21T11:48,CARDIO,2
2023-09-21T11:49,CARDIO,2
2023-09-21T11:50,FAT_BURN,1
2023-09-21T11:51,FAT_BURN,1
2023-09-21T11:52,FAT_BURN,1
2023-09-21T11:53,FAT_BURN,1
2023-09-21T11:54,CARDIO,2
2023-09-21T11:55,CARDIO,2
2023-09-21T11:57,FAT_BURN,1
2023-09-21T13:08,CARDIO,2
2023-09-21T13:09,FAT_BURN,1
2023-09-21T13:10,FAT_BURN,1
2023-09-21T13:11,FAT_BURN,1
2023-09-21T13:12,FAT_BURN,1
2023-09-21T13:13,FAT_BURN,1
2023-09-21T13:14,FAT_BURN,1
2023-09-21T13:15,FAT_BURN,1
2023-09-21T13:16,FAT_BURN,1
2023-09-21T13:18,FAT_BURN,1
2023-09-21T13:19,FAT_BURN,1
2023-09-21T13:21,FAT_BURN,1
2023-09-21T13:22,FAT_BURN,1
2023-09-21T13:23,FAT_BURN,1
2023-09-21T14:04,FAT_BURN,1
2023-09-21T14:05,FAT_BURN,1
2023-09-21T14:06,FAT_BURN,1
2023-09-21T14:07,FAT_BURN,1
