timestamp,Infrared to Red Signal Ratio
09/26/23 02:24:31,2
09/26/23 02:25:31,1
09/26/23 02:26:31,-1
09/26/23 02:34:01,2
09/26/23 02:35:03,17
09/26/23 02:36:03,2
09/26/23 02:37:04,6
09/26/23 02:38:04,1
09/26/23 02:39:04,-4
09/26/23 02:40:04,4
09/26/23 02:41:04,1
09/26/23 02:42:04,0
09/26/23 02:43:04,-2
09/26/23 02:44:05,-1
09/26/23 02:45:05,14
09/26/23 02:46:05,7
09/26/23 02:47:05,1
09/26/23 02:48:05,-4
09/26/23 02:49:05,-6
09/26/23 02:50:06,0
09/26/23 02:51:06,-9
09/26/23 02:52:06,-3
09/26/23 02:53:07,-2
09/26/23 02:54:07,-12
09/26/23 02:55:07,-4
09/26/23 02:56:07,-26
09/26/23 02:57:07,-2
09/26/23 02:58:07,-3
09/26/23 02:59:07,-29
09/26/23 03:00:08,6
09/26/23 03:01:08,-27
09/26/23 03:02:08,8
09/26/23 03:03:08,-5
09/26/23 03:04:08,-1
09/26/23 03:05:08,-22
09/26/23 03:06:09,3
09/26/23 03:07:09,-1
09/26/23 03:08:10,3
09/26/23 03:09:10,0
09/26/23 03:10:10,-8
09/26/23 03:11:10,-1
09/26/23 03:12:10,-7
09/26/23 03:13:10,4
09/26/23 03:14:11,0
09/26/23 03:15:11,-1
09/26/23 03:16:11,0
09/26/23 03:17:11,3
09/26/23 03:18:11,0
09/26/23 03:19:11,-6
09/26/23 03:20:12,6
09/26/23 03:21:14,-7
09/26/23 03:22:14,-4
09/26/23 03:23:14,1
09/26/23 03:24:14,1
09/26/23 03:25:15,9
09/26/23 03:26:15,0
09/26/23 03:27:15,-4
09/26/23 03:28:15,-5
09/26/23 03:29:15,-3
09/26/23 03:30:15,1
09/26/23 03:31:15,-1
09/26/23 03:32:16,-3
09/26/23 03:33:16,-1
09/26/23 03:34:16,11
09/26/23 03:35:16,-1
09/26/23 03:36:17,3
09/26/23 03:37:17,9
09/26/23 03:38:18,2
09/26/23 03:39:18,1
09/26/23 03:40:18,3
09/26/23 03:41:18,5
09/26/23 03:42:18,-22
09/26/23 03:43:18,-8
09/26/23 03:44:18,-1
09/26/23 03:45:19,-24
09/26/23 03:46:19,-40
09/26/23 03:47:19,-2
09/26/23 03:48:19,5
09/26/23 03:49:19,7
09/26/23 03:50:19,1
09/26/23 03:51:22,3
09/26/23 03:52:22,0
09/26/23 03:53:22,-18
09/26/23 03:54:22,19
09/26/23 03:55:22,30
09/26/23 03:56:22,0
09/26/23 03:57:23,20
09/26/23 03:58:23,0
09/26/23 03:59:23,2
09/26/23 04:00:23,-4
09/26/23 04:01:23,0
09/26/23 04:02:23,-1
09/26/23 04:03:23,-3
09/26/23 04:04:24,-2
09/26/23 04:05:24,-8
09/26/23 04:06:24,0
09/26/23 04:07:24,7
09/26/23 04:08:24,3
09/26/23 04:09:24,-3
09/26/23 04:10:24,-4
09/26/23 04:11:25,0
09/26/23 04:12:25,-1
09/26/23 04:13:25,6
09/26/23 04:14:25,-2
09/26/23 04:15:25,5
09/26/23 04:16:25,-1
09/26/23 04:17:25,-2
09/26/23 04:18:26,0
09/26/23 04:19:26,2
09/26/23 04:20:26,3
09/26/23 04:21:27,-24
09/26/23 04:22:28,25
09/26/23 04:23:28,-1
09/26/23 04:24:28,3
09/26/23 04:25:28,16
09/26/23 04:26:28,2
09/26/23 04:27:28,-1
09/26/23 04:28:29,-1
09/26/23 04:29:29,-10
09/26/23 04:30:29,3
09/26/23 04:31:29,4
09/26/23 04:32:29,4
09/26/23 04:33:29,0
09/26/23 04:34:29,-1
09/26/23 04:35:30,0
09/26/23 04:36:32,-5
09/26/23 04:37:32,0
