timestamp,Infrared to Red Signal Ratio
09/24/23 01:52:01,3
09/24/23 01:59:38,5
09/24/23 02:00:38,-19
09/24/23 02:01:39,-1
09/24/23 02:02:39,-1
09/24/23 02:03:39,-1
09/24/23 02:04:39,-7
09/24/23 02:05:39,1
09/24/23 02:06:39,2
09/24/23 02:07:40,-4
09/24/23 02:08:40,-4
09/24/23 02:09:40,-5
09/24/23 02:10:40,0
09/24/23 02:11:40,3
09/24/23 02:12:40,-5
09/24/23 02:13:40,29
09/24/23 02:14:47,-25
09/24/23 02:15:47,-14
09/24/23 02:16:47,0
09/24/23 02:17:47,-1
09/24/23 02:18:47,0
09/24/23 02:19:47,-1
09/24/23 02:20:48,0
09/24/23 02:21:48,-4
09/24/23 02:22:48,0
09/24/23 02:23:48,-1
09/24/23 02:24:48,11
09/24/23 02:25:48,14
09/24/23 02:26:49,3
09/24/23 02:27:49,-11
09/24/23 02:28:49,-5
09/24/23 02:29:52,-15
09/24/23 02:30:53,-5
09/24/23 02:31:53,0
09/24/23 02:32:53,-1
09/24/23 02:33:53,0
09/24/23 02:34:53,-10
09/24/23 02:35:53,-3
09/24/23 02:36:54,3
09/24/23 02:37:54,0
09/24/23 02:38:54,-10
09/24/23 02:39:54,-7
09/24/23 02:40:54,-21
09/24/23 02:41:54,-2
09/24/23 02:42:54,-45
09/24/23 02:43:55,-39
09/24/23 02:44:58,0
09/24/23 02:45:58,-6
09/24/23 02:46:58,-24
09/24/23 02:47:59,-4
09/24/23 02:48:59,-3
09/24/23 02:49:59,0
09/24/23 02:50:59,0
09/24/23 02:51:59,-2
09/24/23 02:52:59,-12
09/24/23 02:53:59,-69
09/24/23 02:55:00,-49
09/24/23 02:56:00,-14
09/24/23 02:57:00,-1
09/24/23 02:58:00,-1
09/24/23 02:59:00,11
09/24/23 03:00:04,-33
09/24/23 03:01:05,-8
09/24/23 03:02:05,-12
09/24/23 03:03:05,1
09/24/23 03:04:05,-2
09/24/23 03:05:05,-2
09/24/23 03:06:05,-1
09/24/23 03:07:05,4
09/24/23 03:08:06,-3
09/24/23 03:09:06,-28
09/24/23 03:10:06,-7
09/24/23 03:11:06,-1
09/24/23 03:12:06,-3
09/24/23 03:13:06,0
09/24/23 03:14:07,-2
09/24/23 03:15:09,0
09/24/23 03:16:09,5
09/24/23 03:17:09,0
09/24/23 03:18:10,0
09/24/23 03:19:10,0
09/24/23 03:20:10,-1
09/24/23 03:21:10,1
09/24/23 03:22:10,3
09/24/23 03:23:10,-1
09/24/23 03:24:10,-5
09/24/23 03:25:11,-6
09/24/23 03:26:11,3
09/24/23 03:27:11,0
09/24/23 03:28:11,3
09/24/23 03:29:11,-1
09/24/23 03:30:13,0
09/24/23 03:31:13,-1
09/24/23 03:32:13,-1
09/24/23 03:33:14,7
09/24/23 03:34:14,0
09/24/23 03:35:14,-8
09/24/23 03:36:14,0
09/24/23 03:37:14,9
09/24/23 03:38:14,3
09/24/23 03:39:14,-2
09/24/23 03:40:15,7
09/24/23 03:41:15,0
09/24/23 03:42:15,-1
09/24/23 03:43:15,2
09/24/23 03:44:15,1
09/24/23 03:45:20,-1
09/24/23 03:46:20,-1
09/24/23 03:47:20,-1
09/24/23 03:48:20,-2
09/24/23 03:49:20,-6
09/24/23 03:50:20,0
09/24/23 03:51:21,29
09/24/23 03:52:21,-1
09/24/23 03:53:21,5
09/24/23 03:54:21,20
09/24/23 03:55:21,6
09/24/23 03:56:21,0
09/24/23 03:57:21,0
09/24/23 03:58:22,1
09/24/23 03:59:22,-4
09/24/23 04:00:24,0
09/24/23 04:01:24,0
09/24/23 04:02:25,0
09/24/23 04:03:25,0
09/24/23 04:04:25,0
09/24/23 04:05:25,0
09/24/23 04:06:25,0
09/24/23 04:07:25,0
09/24/23 04:08:25,0
09/24/23 04:09:26,0
09/24/23 04:10:26,0
09/24/23 04:11:26,-4
09/24/23 04:12:26,1
09/24/23 04:13:26,0
09/24/23 04:14:26,0
09/24/23 04:15:27,3
09/24/23 04:16:30,-3
09/24/23 04:17:30,0
09/24/23 04:18:30,0
09/24/23 04:19:30,0
09/24/23 04:20:30,-11
09/24/23 04:21:30,-21
09/24/23 04:22:31,0
09/24/23 04:23:31,5
09/24/23 04:24:31,-3
09/24/23 04:25:31,-60
09/24/23 04:26:31,-49
09/24/23 04:27:31,0
09/24/23 04:28:31,-64
09/24/23 04:29:32,-21
09/24/23 04:30:32,-19
09/24/23 04:31:36,-8
09/24/23 04:32:36,13
09/24/23 04:33:36,7
09/24/23 04:34:36,47
09/24/23 04:35:36,-1
09/24/23 04:36:36,11
09/24/23 04:37:37,25
09/24/23 04:38:37,-15
09/24/23 04:39:37,0
09/24/23 04:40:37,-32
09/24/23 04:41:37,10
09/24/23 04:42:37,0
09/24/23 04:43:37,-9
09/24/23 04:44:38,-3
09/24/23 04:45:38,-13
09/24/23 04:46:41,0
09/24/23 04:47:41,-4
09/24/23 04:48:41,-20
09/24/23 04:49:41,-6
09/24/23 04:50:41,-1
09/24/23 04:51:41,-10
09/24/23 04:52:42,-12
09/24/23 04:53:42,-1
09/24/23 04:54:42,-6
09/24/23 04:55:42,12
09/24/23 04:56:42,-8
09/24/23 04:57:42,-2
09/24/23 04:58:43,0
09/24/23 04:59:43,-1
09/24/23 05:00:43,-1
09/24/23 05:01:47,0
09/24/23 05:02:47,0
09/24/23 05:03:47,0
09/24/23 05:04:47,4
09/24/23 05:05:47,1
09/24/23 05:06:47,13
09/24/23 05:07:48,0
09/24/23 05:08:48,-1
09/24/23 05:09:48,1
09/24/23 05:10:48,4
09/24/23 05:11:48,-10
09/24/23 05:12:48,-6
09/24/23 05:13:48,-1
09/24/23 05:14:49,-1
09/24/23 05:15:49,-5
09/24/23 05:16:50,0
09/24/23 05:17:51,0
09/24/23 05:18:51,0
09/24/23 05:19:51,6
09/24/23 05:20:51,0
09/24/23 05:21:51,-2
09/24/23 05:22:51,1
09/24/23 05:23:52,-35
09/24/23 05:24:52,-14
09/24/23 05:25:52,3
09/24/23 05:26:52,11
09/24/23 05:27:52,25
09/24/23 05:28:52,-8
09/24/23 05:29:52,-1
09/24/23 05:30:53,-1
09/24/23 05:31:55,0
09/24/23 05:32:55,7
09/24/23 05:33:55,2
09/24/23 05:34:55,6
09/24/23 05:35:56,-1
09/24/23 05:36:56,0
09/24/23 05:37:56,-28
09/24/23 05:38:56,0
09/24/23 05:39:56,-8
09/24/23 05:40:56,-3
09/24/23 05:41:57,1
09/24/23 05:42:57,-11
09/24/23 05:43:57,-7
09/24/23 05:44:57,7
09/24/23 05:45:57,-2
09/24/23 05:47:01,-3
09/24/23 05:48:01,8
09/24/23 05:49:02,2
09/24/23 05:50:02,-13
09/24/23 05:51:02,-2
09/24/23 05:52:02,1
09/24/23 05:53:02,1
09/24/23 05:54:02,-1
09/24/23 05:55:02,-1
09/24/23 05:56:03,8
09/24/23 05:57:03,0
09/24/23 05:58:03,-1
09/24/23 05:59:03,10
09/24/23 06:00:03,3
09/24/23 06:01:03,6
09/24/23 06:02:04,0
09/24/23 06:03:04,-23
09/24/23 06:04:05,-13
09/24/23 06:05:05,-3
