timestamp,Infrared to Red Signal Ratio
09/21/23 04:33:01,1
09/21/23 04:34:01,-5
09/21/23 04:35:02,-1
09/21/23 04:36:02,-10
09/21/23 04:37:02,-1
09/21/23 04:38:02,-2
09/21/23 04:39:02,-10
09/21/23 04:40:02,-13
09/21/23 04:41:06,-21
09/21/23 04:42:06,1
09/21/23 04:43:06,-8
09/21/23 04:44:06,-35
09/21/23 04:45:07,-12
09/21/23 04:46:07,-2
09/21/23 04:47:07,-5
09/21/23 04:48:07,-5
09/21/23 04:49:07,-1
09/21/23 04:50:07,-2
09/21/23 04:51:08,-7
09/21/23 04:52:08,-5
09/21/23 04:53:08,-10
09/21/23 04:54:08,-9
09/21/23 04:55:08,3
09/21/23 04:56:11,-1
09/21/23 04:57:11,-6
09/21/23 04:58:12,-35
09/21/23 04:59:12,-23
09/21/23 05:00:12,-40
09/21/23 05:01:12,-14
09/21/23 05:02:12,-1
09/21/23 05:03:12,-10
09/21/23 05:04:12,-14
09/21/23 05:05:13,-10
09/21/23 05:06:13,0
09/21/23 05:07:13,-1
09/21/23 05:08:13,5
09/21/23 05:09:13,-12
09/21/23 05:10:13,-1
09/21/23 05:11:16,6
09/21/23 05:12:16,8
09/21/23 05:13:16,-8
09/21/23 05:14:17,-5
09/21/23 05:15:17,-10
09/21/23 05:16:17,6
09/21/23 05:17:17,-4
09/21/23 05:18:17,0
09/21/23 05:19:17,-1
09/21/23 05:20:17,-3
09/21/23 05:21:18,-4
09/21/23 05:22:18,2
09/21/23 05:23:18,26
09/21/23 05:24:18,-1
09/21/23 05:25:18,3
09/21/23 05:26:22,-1
09/21/23 05:27:22,-53
09/21/23 05:28:22,17
09/21/23 05:29:22,-4
09/21/23 05:30:22,-2
09/21/23 05:31:22,-4
09/21/23 05:32:23,22
09/21/23 05:33:23,-1
09/21/23 05:34:23,1
09/21/23 05:35:23,-1
09/21/23 05:36:23,-1
09/21/23 05:37:23,6
09/21/23 05:38:23,-28
09/21/23 05:39:24,-12
09/21/23 05:40:24,-11
09/21/23 05:41:27,-23
09/21/23 05:42:27,-1
09/21/23 05:43:27,-27
09/21/23 05:44:27,7
09/21/23 05:45:28,0
09/21/23 05:46:28,-24
09/21/23 05:47:28,-7
09/21/23 05:48:28,-1
09/21/23 05:49:28,-5
09/21/23 05:50:28,15
09/21/23 05:51:28,-7
09/21/23 05:52:29,-2
09/21/23 05:53:29,-1
09/21/23 05:54:29,24
09/21/23 05:55:29,-12
09/21/23 05:56:33,5
09/21/23 05:57:33,1
09/21/23 05:58:33,-1
09/21/23 05:59:33,-1
09/21/23 06:00:33,0
09/21/23 06:01:33,0
09/21/23 06:02:34,-10
09/21/23 06:03:34,-7
09/21/23 06:04:34,0
09/21/23 06:05:34,0
09/21/23 06:06:34,-1
09/21/23 06:07:34,-36
09/21/23 06:08:34,-17
09/21/23 06:09:35,0
09/21/23 06:10:35,-7
09/21/23 06:11:37,1
09/21/23 06:12:37,0
09/21/23 06:13:37,-9
09/21/23 06:14:37,-1
09/21/23 06:15:37,-39
09/21/23 06:16:38,4
09/21/23 06:17:38,-1
09/21/23 06:18:38,16
09/21/23 06:19:38,-26
09/21/23 06:20:38,0
09/21/23 06:21:38,0
09/21/23 06:22:38,18
09/21/23 06:23:39,2
09/21/23 06:24:39,-1
09/21/23 06:25:39,0
09/21/23 06:26:42,-5
09/21/23 06:27:43,2
09/21/23 06:28:43,0
09/21/23 06:29:43,-1
09/21/23 06:30:43,0
09/21/23 06:31:43,3
09/21/23 06:32:43,-1
09/21/23 06:33:44,0
09/21/23 06:34:44,0
09/21/23 06:35:44,-1
09/21/23 06:36:44,-2
09/21/23 06:37:44,-1
09/21/23 06:38:44,-2
09/21/23 06:39:44,3
09/21/23 06:40:45,-3
09/21/23 06:41:45,0
09/21/23 06:42:46,1
