timestamp,Infrared to Red Signal Ratio
09/23/23 01:18:31,2
09/23/23 01:34:31,4
09/23/23 01:35:34,-1
09/23/23 01:36:34,-1
09/23/23 01:37:34,21
09/23/23 01:38:34,7
09/23/23 01:39:34,-1
09/23/23 01:40:34,0
09/23/23 01:41:35,-10
09/23/23 01:42:35,-2
09/23/23 01:43:35,-13
09/23/23 01:44:35,-1
09/23/23 01:45:35,-4
09/23/23 01:46:35,-5
09/23/23 01:47:36,-5
09/23/23 01:48:36,0
09/23/23 01:49:36,0
09/23/23 01:50:39,-1
09/23/23 01:51:39,-3
09/23/23 01:52:39,-1
09/23/23 01:53:39,1
09/23/23 01:54:39,0
09/23/23 01:55:40,0
09/23/23 01:56:40,1
09/23/23 01:57:40,2
09/23/23 01:58:40,-5
09/23/23 01:59:40,9
09/23/23 02:00:40,-1
09/23/23 02:01:41,11
09/23/23 02:02:41,9
09/23/23 02:03:41,2
09/23/23 02:04:41,-6
09/23/23 02:05:43,7
09/23/23 02:06:43,0
09/23/23 02:07:43,-4
09/23/23 02:08:43,-1
09/23/23 02:09:43,-3
09/23/23 02:10:44,0
09/23/23 02:11:44,0
09/23/23 02:12:44,9
09/23/23 02:13:44,28
09/23/23 02:14:44,-7
09/23/23 02:15:44,10
09/23/23 02:16:44,-2
09/23/23 02:17:44,-8
09/23/23 02:18:45,-27
09/23/23 02:19:45,9
09/23/23 02:20:46,-4
09/23/23 02:21:46,-12
09/23/23 02:22:47,-3
09/23/23 02:23:47,0
09/23/23 02:24:47,-9
09/23/23 02:25:47,0
09/23/23 02:26:47,4
09/23/23 02:27:47,-3
09/23/23 02:28:47,0
09/23/23 02:29:48,0
09/23/23 02:30:48,0
09/23/23 02:31:48,-7
09/23/23 02:32:48,-1
09/23/23 02:33:48,0
09/23/23 02:34:48,2
09/23/23 02:35:49,0
09/23/23 02:36:49,4
09/23/23 02:37:49,-4
09/23/23 02:38:49,0
09/23/23 02:39:49,-8
09/23/23 02:40:49,14
09/23/23 02:41:50,1
09/23/23 02:42:50,11
09/23/23 02:43:50,-4
09/23/23 02:44:50,-2
09/23/23 02:45:50,-30
09/23/23 02:46:50,-3
09/23/23 02:47:50,0
09/23/23 02:48:51,-16
09/23/23 02:49:51,0
09/23/23 02:50:53,2
09/23/23 02:51:54,0
09/23/23 02:52:54,0
09/23/23 02:53:54,-20
09/23/23 02:54:54,-6
09/23/23 02:55:54,-2
09/23/23 02:56:54,11
09/23/23 02:57:54,-4
09/23/23 02:58:55,-19
09/23/23 02:59:55,-3
09/23/23 03:00:55,0
09/23/23 03:01:55,0
09/23/23 03:02:55,-5
09/23/23 03:03:55,0
09/23/23 03:04:55,-12
09/23/23 03:05:57,-8
09/23/23 03:06:57,2
09/23/23 03:07:57,14
09/23/23 03:08:57,0
09/23/23 03:09:57,-11
09/23/23 03:10:58,-4
09/23/23 03:11:58,-7
09/23/23 03:12:58,-1
09/23/23 03:13:58,1
09/23/23 03:14:58,-1
09/23/23 03:15:58,0
09/23/23 03:16:58,1
09/23/23 03:17:59,-1
09/23/23 03:18:59,-3
09/23/23 03:19:59,-3
09/23/23 03:21:01,-2
09/23/23 03:22:01,-1
09/23/23 03:23:01,5
09/23/23 03:24:01,-2
09/23/23 03:25:01,-2
09/23/23 03:26:01,0
09/23/23 03:27:01,-29
09/23/23 03:28:02,-12
09/23/23 03:29:02,-12
09/23/23 03:30:02,-2
09/23/23 03:31:02,0
09/23/23 03:32:02,3
09/23/23 03:33:02,-16
09/23/23 03:34:02,-36
09/23/23 03:35:03,21
09/23/23 03:36:03,1
09/23/23 03:37:04,-10
09/23/23 03:38:05,41
09/23/23 03:39:05,-47
09/23/23 03:40:05,15
09/23/23 03:41:05,-2
09/23/23 03:42:05,5
09/23/23 03:43:05,3
09/23/23 03:44:06,-16
09/23/23 03:45:06,-1
09/23/23 03:46:06,-41
09/23/23 03:47:06,-39
09/23/23 03:48:06,-2
09/23/23 03:49:06,0
09/23/23 03:50:06,-7
09/23/23 03:51:07,-1
09/23/23 03:52:08,3
09/23/23 03:53:08,16
09/23/23 03:54:08,-6
09/23/23 03:55:08,0
09/23/23 03:56:09,-30
09/23/23 03:57:09,-19
09/23/23 03:58:09,-5
09/23/23 03:59:09,-3
09/23/23 04:00:09,0
09/23/23 04:01:09,-1
09/23/23 04:02:09,-4
09/23/23 04:03:10,0
09/23/23 04:04:10,9
09/23/23 04:05:10,0
09/23/23 04:06:10,-1
09/23/23 04:07:10,5
09/23/23 04:08:10,4
09/23/23 04:09:10,-16
09/23/23 04:10:11,-74
09/23/23 04:11:11,-1
09/23/23 04:12:11,36
09/23/23 04:13:11,-8
09/23/23 04:14:11,0
09/23/23 04:15:11,5
09/23/23 04:16:11,0
09/23/23 04:17:12,0
09/23/23 04:18:12,0
09/23/23 04:19:12,-1
09/23/23 04:20:12,0
09/23/23 04:21:12,1
09/23/23 04:22:13,0
09/23/23 04:23:14,0
09/23/23 04:24:14,-1
09/23/23 04:25:14,2
09/23/23 04:26:14,-1
09/23/23 04:27:14,3
09/23/23 04:28:14,6
