timestamp,Infrared to Red Signal Ratio
09/25/23 03:24:02,3
09/25/23 03:25:02,1
09/25/23 03:26:02,-1
09/25/23 03:27:02,0
09/25/23 03:28:02,-1
09/25/23 03:29:03,-1
09/25/23 03:30:04,-5
09/25/23 03:31:04,-26
09/25/23 03:32:04,2
09/25/23 03:33:04,2
09/25/23 03:34:04,0
09/25/23 03:35:04,2
09/25/23 03:36:05,0
09/25/23 03:37:05,2
09/25/23 03:38:05,0
09/25/23 03:39:05,-1
09/25/23 03:40:05,-1
09/25/23 03:41:05,-8
09/25/23 03:42:05,0
09/25/23 03:43:06,49
09/25/23 03:44:08,23
09/25/23 03:45:09,4
09/25/23 03:46:09,-3
09/25/23 03:47:09,13
09/25/23 03:48:09,-17
09/25/23 03:49:09,8
09/25/23 03:50:09,-20
09/25/23 03:51:09,16
09/25/23 03:52:10,-7
09/25/23 03:53:10,4
09/25/23 03:54:10,4
09/25/23 03:55:10,-15
09/25/23 03:56:10,-12
09/25/23 03:57:10,-3
09/25/23 03:58:10,-3
09/25/23 03:59:12,0
09/25/23 04:00:13,-62
09/25/23 04:01:13,1
09/25/23 04:02:13,3
09/25/23 04:03:14,0
09/25/23 04:04:14,-10
09/25/23 04:05:14,-1
09/25/23 04:06:14,1
09/25/23 04:07:14,-15
09/25/23 04:08:14,0
09/25/23 04:09:15,22
09/25/23 04:10:15,2
09/25/23 04:11:15,-2
09/25/23 04:12:15,-4
09/25/23 04:13:15,-8
09/25/23 04:14:14,0
09/25/23 04:15:15,-3
09/25/23 04:16:15,0
09/25/23 04:17:15,1
09/25/23 04:18:15,90
09/25/23 04:19:15,19
09/25/23 04:20:15,0
09/25/23 04:21:16,45
09/25/23 04:22:16,2
09/25/23 04:23:16,-57
09/25/23 04:24:16,18
09/25/23 04:25:16,0
09/25/23 04:26:16,-3
09/25/23 04:27:16,1
09/25/23 04:28:17,-3
09/25/23 04:29:17,1
09/25/23 04:30:17,-1
09/25/23 04:31:18,32
09/25/23 04:32:18,8
09/25/23 04:33:18,0
09/25/23 04:34:18,0
09/25/23 04:35:18,1
09/25/23 04:36:18,-5
09/25/23 04:37:18,12
09/25/23 04:38:19,0
09/25/23 04:39:19,11
09/25/23 04:40:19,0
09/25/23 04:41:19,0
09/25/23 04:42:19,-1
09/25/23 04:43:19,0
09/25/23 04:44:19,40
09/25/23 04:45:20,-6
09/25/23 04:46:20,-11
09/25/23 04:47:20,0
09/25/23 04:48:20,-2
09/25/23 04:49:20,-7
09/25/23 04:50:20,31
09/25/23 04:51:21,-23
09/25/23 04:52:21,5
09/25/23 04:53:21,-4
09/25/23 04:54:21,-8
09/25/23 04:55:21,0
09/25/23 04:56:21,-14
09/25/23 04:57:21,4
09/25/23 04:58:22,-6
09/25/23 04:59:22,-1
09/25/23 05:00:21,-1
09/25/23 05:01:22,-15
09/25/23 05:02:22,0
09/25/23 05:03:22,-1
09/25/23 05:04:22,0
09/25/23 05:05:22,-4
09/25/23 05:06:22,1
09/25/23 05:07:22,29
09/25/23 05:08:23,-1
09/25/23 05:09:23,-2
09/25/23 05:10:23,0
09/25/23 05:11:23,-1
09/25/23 05:12:23,0
09/25/23 05:13:23,-4
09/25/23 05:14:23,1
09/25/23 05:15:24,-1
09/25/23 05:16:24,82
09/25/23 05:17:24,-2
09/25/23 05:18:24,0
09/25/23 05:19:24,-1
09/25/23 05:20:25,31
09/25/23 05:21:25,-2
09/25/23 05:22:25,0
09/25/23 05:23:25,-3
09/25/23 05:24:25,0
09/25/23 05:25:25,-1
09/25/23 05:26:26,-7
09/25/23 05:27:26,34
09/25/23 05:28:26,6
09/25/23 05:29:26,-2
09/25/23 05:30:26,-1
09/25/23 05:31:26,-1
09/25/23 05:32:26,0
09/25/23 05:33:26,14
09/25/23 05:34:27,-2
09/25/23 05:35:27,-1
09/25/23 05:36:27,-1
09/25/23 05:37:27,1
09/25/23 05:38:27,-1
09/25/23 05:39:27,9
09/25/23 05:40:28,13
09/25/23 05:41:28,8
09/25/23 05:42:28,2
09/25/23 05:43:28,24
09/25/23 05:44:28,-7
09/25/23 05:45:31,15
09/25/23 05:46:31,-64
09/25/23 05:47:31,-45
09/25/23 05:48:32,-52
09/25/23 05:49:32,-3
09/25/23 05:50:32,-45
09/25/23 05:51:32,-59
09/25/23 05:52:32,-17
09/25/23 05:53:32,-3
09/25/23 05:54:32,-1
09/25/23 05:55:33,-1
09/25/23 05:56:33,8
09/25/23 05:57:33,-9
09/25/23 05:58:33,2
09/25/23 05:59:33,59
09/25/23 06:00:33,35
09/25/23 06:01:33,1
09/25/23 06:02:33,19
09/25/23 06:03:33,19
09/25/23 06:04:34,43
09/25/23 06:05:34,6
09/25/23 06:06:34,19
09/25/23 06:07:34,4
09/25/23 06:08:34,-7
09/25/23 06:09:34,-1
09/25/23 06:10:34,6
09/25/23 06:11:35,0
09/25/23 06:12:35,-3
09/25/23 06:13:35,-1
09/25/23 06:14:35,0
09/25/23 06:15:34,-1
09/25/23 06:16:34,-2
09/25/23 06:17:35,0
09/25/23 06:18:35,-1
09/25/23 06:19:35,-4
09/25/23 06:20:35,0
09/25/23 06:21:35,-11
09/25/23 06:22:35,0
09/25/23 06:23:35,0
09/25/23 06:24:35,-14
09/25/23 06:25:36,-26
09/25/23 06:26:36,-1
09/25/23 06:27:36,0
09/25/23 06:28:36,0
09/25/23 06:29:36,-2
09/25/23 06:30:36,0
09/25/23 06:31:37,-1
09/25/23 06:32:38,-1
09/25/23 06:33:38,1
09/25/23 06:34:38,1
09/25/23 06:35:38,-2
09/25/23 06:36:38,0
09/25/23 06:37:38,0
09/25/23 06:38:39,-2
09/25/23 06:39:39,-4
09/25/23 06:40:39,-1
09/25/23 06:41:39,5
09/25/23 06:42:39,-3
09/25/23 06:43:39,-1
09/25/23 06:44:39,-1
09/25/23 06:45:40,0
09/25/23 06:46:41,-1
09/25/23 06:47:41,-6
09/25/23 06:48:41,8
09/25/23 06:49:41,0
09/25/23 06:50:41,-7
09/25/23 06:51:42,32
09/25/23 06:52:42,-2
09/25/23 06:53:42,0
09/25/23 06:54:42,-3
09/25/23 06:55:42,-1
09/25/23 06:56:42,2
09/25/23 06:57:43,1
09/25/23 06:58:43,1
09/25/23 06:59:43,-1
09/25/23 07:00:43,1
09/25/23 07:01:45,4
09/25/23 07:02:45,0
09/25/23 07:03:45,-2
09/25/23 07:04:45,-7
09/25/23 07:05:45,8
09/25/23 07:06:45,-2
09/25/23 07:07:46,27
09/25/23 07:08:46,0
09/25/23 07:09:46,3
09/25/23 07:10:46,0
09/25/23 07:11:46,-1
09/25/23 07:12:46,23
09/25/23 07:13:46,18
09/25/23 07:14:47,0
09/25/23 07:15:47,0
09/25/23 07:16:51,0
09/25/23 07:17:51,-20
09/25/23 07:18:51,-2
09/25/23 07:19:51,-1
09/25/23 07:20:51,0
09/25/23 07:21:51,0
09/25/23 07:22:51,-3
09/25/23 07:23:52,-7
09/25/23 07:24:52,-14
09/25/23 07:25:52,-10
09/25/23 07:26:52,1
09/25/23 07:27:52,4
09/25/23 07:28:52,-20
09/25/23 07:29:53,5
09/25/23 07:30:53,3
09/25/23 07:31:57,-2
09/25/23 07:32:57,0
09/25/23 07:33:57,0
09/25/23 07:34:57,25
09/25/23 07:35:57,13
09/25/23 07:36:57,16
09/25/23 07:37:57,22
09/25/23 07:38:58,12
09/25/23 07:39:58,-3
09/25/23 07:40:58,0
09/25/23 07:41:58,11
09/25/23 07:42:58,0
09/25/23 07:43:58,-1
09/25/23 07:44:59,-7
09/25/23 07:45:59,0
09/25/23 07:47:02,-1
09/25/23 07:48:02,-6
09/25/23 07:49:02,-1
09/25/23 07:50:02,-1
09/25/23 07:51:03,-1
09/25/23 07:52:03,-3
09/25/23 07:53:03,0
09/25/23 07:54:03,1
09/25/23 07:55:03,0
09/25/23 07:56:03,-1
09/25/23 07:57:03,-1
09/25/23 07:58:04,-5
09/25/23 07:59:04,1
09/25/23 08:00:04,-4
09/25/23 08:01:04,7
09/25/23 08:02:06,2
09/25/23 08:03:07,0
09/25/23 08:04:07,-6
09/25/23 08:05:07,0
09/25/23 08:06:07,-6
09/25/23 08:07:07,2
09/25/23 08:08:07,-1
09/25/23 08:09:07,0
09/25/23 08:10:08,0
09/25/23 08:11:08,78
09/25/23 08:12:08,-1
09/25/23 08:13:08,15
09/25/23 08:14:08,8
09/25/23 08:15:08,1
09/25/23 08:16:09,-6
09/25/23 08:17:11,35
09/25/23 08:18:11,0
09/25/23 08:19:12,-1
09/25/23 08:20:12,15
09/25/23 08:21:12,-22
09/25/23 08:22:12,19
09/25/23 08:23:12,1
09/25/23 08:24:12,6
09/25/23 08:25:12,48
09/25/23 08:26:13,0
09/25/23 08:27:13,0
09/25/23 08:28:13,38
09/25/23 08:29:13,15
09/25/23 08:30:13,-1
09/25/23 08:31:13,-9
09/25/23 08:32:16,-1
09/25/23 08:33:17,25
09/25/23 08:34:17,-1
09/25/23 08:35:17,9
09/25/23 08:36:17,0
09/25/23 08:37:17,-1
09/25/23 08:38:17,0
09/25/23 08:39:20,-13
09/25/23 08:40:20,-4
09/25/23 08:41:22,0
09/25/23 08:44:28,-1
